Country,Death,Elevation,Location,Name,Type,VEI,Year
New Zealand,,238,Kermadec Is,Macauley Island,Caldera,6,-4360
Japan,,717,Ryukyu Is,Kikai,Caldera,7,-4350
Nicaragua,,635,Nicaragua,Masaya,Caldera,6,-4050
Papua New Guinea,,742,New Britain-SW Pac,Pago,Caldera,6,-4000
Philippines,,400,Luzon-Philippines,Taal,Stratovolcano,6,-3580
Philippines,,1486,Luzon-Philippines,Pinatubo,Stratovolcano,6,-3550
Italy,,1281,Italy,Vesuvius,Complex volcano,5,-2420
Papua New Guinea,,1280,New Guinea-NE of,Long Island,Complex volcano,6,-2040
United States,,1032,Alaska Peninsula,Black Peak,Stratovolcano,6,-1900
United States,,2549,US-Washington,St. Helens,Stratovolcano,6,-1860
United States,,2507,Alaska Peninsula,Veniaminof,Stratovolcano,6,-1750
United States,,1341,Alaska Peninsula,Aniakchak,Caldera,6,-1645
Greece,,329,Greece,Santorini,Shield volcano,6,-1610
United States,,3108,Alaska-SW,Redoubt,Stratovolcano,,-1550
New Zealand,,760,New Zealand,Taupo,Caldera,6,-1460
Papua New Guinea,,742,New Britain-SW Pac,Pago,Caldera,6,-1370
Philippines,,1486,Luzon-Philippines,Pinatubo,Stratovolcano,6,-1050
Ecuador,,5023,Ecuador,Tungurahua,Stratovolcano,5,-1010
Ecuador,,5911,Ecuador,Cotopaxi,Stratovolcano,4,-455
New Zealand,,516,Kermadec Is,Raoul Island,Stratovolcano,6,-250
Greece,,329,Greece,Santorini,Shield volcano,3,-197
Papua New Guinea,,270,Admiralty Is-SW Paci,St. Andrew Strait,Complex volcano,,-150
Italy,40,3350,Italy,Etna,Stratovolcano,,-141
United States,,1073,Aleutian Is,Okmok,Shield volcano,6,-100
Nicaragua,,518,Nicaragua,Apoyeque,Pyroclastic shield,6,-50
Greece,,329,Greece,Santorini,Shield volcano,3,46
Vanuatu,,1334,Vanuatu-SW Pacific,Ambrym,Pyroclastic shield,6,50
United States,,5005,Alaska-E,Bona-Churchill,Stratovolcano,6,60
Italy,3500,1281,Italy,Vesuvius,Complex volcano,5,79
Yemen,,3100,Arabia-S,Arhab Harra of,Volcanic field,,200
New Zealand,,760,New Zealand,Taupo,Caldera,6,230
Russia,,1079,Kamchatka,Ksudach,Stratovolcano,6,240
United States,,1252,Alaska-SW,Augustine,Lava dome,,350
Indonesia,,813,Indonesia,Krakatau,Caldera,,416
El Salvador,30000,450,El Salvador,Ilopango,Caldera,6,450
